City,City,Country,Date,Lat,Lng,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
356,Vila Velha,BR,1681416775,-20.3297,-40.2925,75,84,80.94,8.05
357,Sur,OM,1681416775,22.5667,59.5289,0,49,85.6,5.23
358,Ipu,BR,1681416776,-4.3222,-40.7108,100,81,78.98,4.23
359,Bandarbeyla,SO,1681416776,9.4942,50.8122,80,76,82.98,8.93
360,Camabatela,AO,1681416776,-8.1881,15.375,74,94,63.82,1.61
361,Millinocket,US,1681416496,45.6573,-68.7098,0,33,71.71,9.22
362,Mgandu,TZ,1681416776,-5.95,34.1333,99,98,61.05,4.36
363,Syumsi,RU,1681416776,57.1111,51.6149,13,64,29.35,13.11
364,Shangzhi,CN,1681416777,45.2167,127.9667,0,51,35.31,2.68
365,Novoagansk,RU,1681416777,61.9449,76.6625,81,97,-2.52,8.66
366,Emerald,AU,1681416777,-23.5333,148.1667,0,40,61.12,8.41
367,Provideniya,RU,1681416777,64.3833,-173.3,7,82,3.22,4.03
368,Along,IN,1681416778,28.1667,94.7667,22,73,66.92,1.83
369,Fredericton,CA,1681416582,45.9454,-66.6656,100,72,63.01,6.51
370,Ulaangom,MN,1681416778,49.9811,92.0667,23,71,22.89,1.92
371,Kahului,US,1681416778,20.8947,-156.47,40,68,78.82,13.8
372,Itaituba,BR,1681416779,-4.2761,-55.9836,100,81,82.92,0.76
373,Dingle,PH,1681416779,10.9995,122.6711,100,89,74.91,2.08
374,Romny,UA,1681416779,50.751,33.4747,100,94,47.14,11.52
375,Henties Bay,NA,1681416779,-22.116,14.2845,0,82,59.16,9.01
376,Ondarroa,ES,1681416779,43.3167,-2.4167,100,89,52.09,7.36
377,Mahajanga,MG,1681416779,-15.7167,46.3167,62,75,79.38,4.14
378,Lata,PT,1681416780,40.1629,-8.3327,90,87,56.8,4.52
379,Waipawa,NZ,1681416780,-41.4122,175.5153,100,89,53.96,9.89
380,Turbat,PK,1681416780,26.0023,63.044,0,48,81.95,3.04
381,Camacha,PT,1681416781,33.0833,-16.3333,75,77,62.02,14.97
382,Zelenoborskiy,RU,1681416781,66.845,32.3622,33,97,7.99,1.83
383,Shubarkuduk,KZ,1681416781,49.1447,56.4872,100,35,62.13,16.6
384,Castro,BR,1681416781,-24.7911,-50.0119,51,68,70.86,3.22
385,Talant,FR,1681416781,47.3369,5.0089,0,81,39.81,3.44
386,Plettenberg Bay,ZA,1681416782,-34.0527,23.3716,0,84,59.61,9.53
387,Mattru,SL,1681416782,7.6244,-11.8332,51,74,82.0,5.93
388,Temple,US,1681416469,31.0982,-97.3428,20,52,79.65,11.5
389,Codrington,AU,1681416782,-38.2667,141.9667,5,95,52.81,8.93
390,Luau,AO,1681416783,-10.7073,22.2247,87,95,65.25,4.36
391,Portland,US,1681416736,45.5234,-122.6762,100,62,53.11,5.01
392,General Roca,AR,1681416783,-39.0333,-67.5833,100,44,59.63,9.24
393,Traverse City,US,1681416683,44.7631,-85.6206,40,24,84.31,13.8
394,Yumen,CN,1681416784,40.2833,97.2,100,37,43.11,11.34
395,Lufilufi,WS,1681416785,-13.8745,-171.5986,39,76,85.78,9.42
396,Kitimat,CA,1681416785,54.0524,-128.6534,100,67,41.92,1.01
397,Temir,KZ,1681416785,49.1414,57.13,100,37,60.71,14.61
398,Cabedelo,BR,1681416785,-6.9811,-34.8339,89,72,83.07,10.4
399,Shache,CN,1681416786,38.4167,77.2406,71,20,60.12,6.46
400,San Angelo,US,1681416747,31.4638,-100.437,0,27,85.28,13.8
401,Morón,AR,1681416786,-34.6534,-58.6198,0,39,66.97,7.29
402,Maïné Soroa,NE,1681416786,13.2114,12.0241,5,13,82.71,7.87
403,Xai-Xai,MZ,1681416787,-25.0519,33.6442,0,75,71.47,10.94
404,Wenling,CN,1681416787,28.3669,121.36,97,98,62.22,5.01
405,Houma,US,1681416790,29.5958,-90.7195,75,64,72.0,4.61
406,Marystown,CA,1681416668,47.1666,-55.1483,71,100,46.85,11.99
407,Tomigusuku,JP,1681416791,26.185,127.675,75,96,73.17,10.36
408,Chicama,PE,1681416792,-7.8447,-79.1469,97,65,84.74,10.96
409,Sailāna,IN,1681416796,23.4667,74.9167,90,28,82.04,7.52
410,Ekibastuz,KZ,1681416796,51.6667,75.3667,100,39,50.4,10.58
411,Kysyl-Syr,RU,1681416796,63.8986,122.7617,87,100,0.68,1.21
412,Arman',RU,1681416797,59.7,150.1667,100,79,21.02,8.52
413,Roald,NO,1681416797,62.5833,6.1333,0,46,51.94,11.5
414,Rodolfo Sánchez Taboada,MX,1681416797,31.7167,-116.5667,93,61,59.11,4.0
415,Estevan,CA,1681416798,49.1334,-102.9842,100,94,35.94,12.86
416,Port Jervis,US,1681416798,41.3751,-74.6927,3,26,90.28,10.27
417,Bathsheba,BB,1681416798,13.2167,-59.5167,20,61,83.01,17.27
418,Hambantota,LK,1681416798,6.1241,81.1185,20,85,79.27,5.61
419,Caçu,BR,1681416799,-18.5567,-51.1308,89,69,82.02,3.18
420,Bayan,CN,1681416799,46.0833,127.4,5,55,34.9,4.88
421,Carutapera,BR,1681416800,-1.195,-46.02,100,77,81.88,7.81
422,Denpasar,ID,1681416788,-8.65,115.2167,20,88,76.71,4.61
423,Aykhal,RU,1681416800,66.0,111.5,100,100,4.6,8.86
424,Sept-Îles,CA,1681416801,50.2001,-66.3821,75,80,41.0,4.61
425,Oruzgan,AF,1681416801,32.8333,66.0,0,21,63.37,2.84
426,Prince Rupert,CA,1681416801,54.3161,-130.3201,100,87,40.69,13.8
427,Tumpat,MY,1681416802,6.1978,102.171,22,91,77.85,4.61
428,Lubango,AO,1681416802,-14.9172,13.4925,72,85,61.68,4.72
429,Grindavik,IS,1681416802,63.8424,-22.4338,100,93,44.55,5.75
430,Mamlyutka,KZ,1681416802,54.9375,68.5394,70,81,32.41,18.99
431,Aksaray,TR,1681416803,38.3726,34.0254,5,59,45.23,4.94
432,Sacoşu Turcesc,RO,1681416803,45.6519,21.4289,0,76,54.99,8.05
433,Novy Urengoy,RU,1681416803,66.0833,76.6333,77,94,-5.1,16.82
434,Duki,PK,1681416804,30.1541,68.5728,0,24,74.91,9.04
435,Katsuura,JP,1681416804,35.1333,140.3,64,70,62.01,15.84
436,Hofn,IS,1681416804,64.2539,-15.2082,100,76,42.75,13.27
437,Ndélé,CF,1681416804,8.4109,20.6473,66,69,75.72,5.37
438,Severnyy,RU,1681416805,50.677,36.5532,100,93,44.64,13.42
439,Petropavlovsk-Kamchatskiy,RU,1681416805,53.0452,158.6483,100,100,30.79,4.47
440,Fuling,CN,1681416806,29.7022,107.3919,100,91,66.43,2.64
441,Province of Mantua,IT,1681416806,45.1667,10.7833,100,87,49.15,8.7
442,Görele,TR,1681416807,41.0308,39.0031,100,91,49.15,4.94
443,Alice Springs,AU,1681416807,-23.7,133.8833,100,49,69.35,0.0
444,Salto,UY,1681416533,-31.3833,-57.9667,20,49,67.87,6.91
445,Grand-Lahou,CI,1681416808,5.1367,-5.0242,6,86,81.45,8.05
446,Puerto Escondido,MX,1681416536,15.85,-97.0667,20,66,88.63,6.91
447,Nālūt,LY,1681416808,30.3333,10.85,74,13,72.73,8.12
448,Chinhoyi,ZW,1681416808,-17.3667,30.2,71,76,65.98,4.0
449,Andenes,NO,1681416808,69.3143,16.1194,0,70,40.98,9.22
450,Coahuayana Viejo,MX,1681416809,18.7333,-103.6833,6,34,90.43,8.23
451,Tucuruí,BR,1681416668,-3.7661,-49.6725,65,80,83.79,3.69
452,San Quintín,MX,1681416810,30.4833,-115.95,49,62,59.61,17.67
453,Muroto-misakicho,JP,1681416810,33.2833,134.15,100,73,60.44,5.53
454,Port Lincoln,AU,1681416810,-34.7333,135.8667,92,69,60.8,14.47
455,Guéret,FR,1681416810,46.1667,1.8667,100,98,38.23,5.93
456,Shelburne,CA,1681416810,44.0787,-80.2041,0,44,80.11,16.06
457,Algiers,DZ,1681416723,36.7525,3.042,40,72,57.02,3.44
458,Longonjo,AO,1681416811,-12.9067,15.2533,100,88,64.29,2.73
459,Pyaozerskiy,RU,1681416811,65.8333,31.1667,5,94,15.58,3.56
460,Cap Malheureux,MU,1681416812,-19.9842,57.6142,0,84,77.47,1.39
461,Yong’an,CN,1681416812,39.6957,113.6871,61,33,45.55,7.18
462,Port-Gentil,GA,1681416812,-0.7193,8.7815,20,94,80.56,2.3
463,Nyrob,RU,1681416813,60.733,56.7202,30,78,17.58,6.67
464,Padang,ID,1681416813,-0.9492,100.3543,90,88,77.52,2.24
465,Ostrovnoy,RU,1681416814,68.0531,39.5131,15,82,15.51,15.23
466,Kalabo,ZM,1681416814,-14.97,22.6814,90,59,71.56,3.33
467,Pisco,PE,1681416814,-13.7,-76.2167,20,64,82.02,12.15
468,Acapulco de Juárez,MX,1681416814,16.8634,-99.8901,40,62,87.62,16.11
469,Pozo Colorado,PY,1681416815,-23.4923,-58.7972,100,98,70.14,6.38
470,Severo-Kuril'sk,RU,1681416819,50.6789,156.125,6,88,30.74,6.73
471,Paragominas,BR,1681416819,-2.9667,-47.4833,100,90,80.47,1.45
472,Necoclí,CO,1681416819,8.4234,-76.786,94,80,83.1,10.65
473,Hirara,JP,1681416819,24.8,125.2833,100,90,74.43,14.94
474,Orocué,CO,1681416819,4.7912,-71.3354,100,31,97.59,5.17
475,Talara,PE,1681416820,-4.5772,-81.2719,40,62,86.76,8.05
476,Lock Haven,US,1681416820,41.137,-77.4469,2,33,87.98,9.08
477,Huarmey,PE,1681416820,-10.0681,-78.1522,64,71,80.71,12.48
478,Agua Buena,PA,1681416820,7.8167,-80.4,86,99,96.76,15.48
479,Mandalgovi,MN,1681416821,45.7625,106.2708,0,52,20.7,9.13
480,Zunyi,CN,1681416821,27.6867,106.9072,31,95,63.57,3.96
481,Shepetivka,UA,1681416821,50.1855,27.0637,99,92,46.89,3.8
482,Sinnamary,GF,1681416821,5.3833,-52.95,80,77,81.18,9.44
483,Atasū,KZ,1681416821,48.6814,71.6433,100,42,52.84,9.26
484,Soyo,AO,1681416822,-6.1349,12.3689,53,76,80.24,4.32
485,Três Passos,BR,1681416822,-27.4556,-53.9319,100,77,68.59,6.08
486,Plouzané,FR,1681416822,48.3833,-4.6167,100,71,48.25,10.36
487,Half Moon Bay,US,1681416609,37.4636,-122.4286,0,35,67.53,9.22
488,Hualmay,PE,1681416822,-11.0964,-77.6139,52,70,79.36,13.04
489,Camaná,PE,1681416823,-16.6228,-72.7111,7,73,75.0,9.53
490,Zalari,RU,1681416823,53.5584,102.5065,20,65,27.03,8.21
491,Umeå,SE,1681416823,63.8284,20.2597,0,55,33.73,6.91
492,Aswān,EG,1681416823,24.0934,32.907,1,21,69.78,10.74
493,Hoi An,VN,1681416823,15.8794,108.335,71,96,80.56,7.07
494,Bois-Guillaume,FR,1681416823,49.4602,1.1222,75,87,46.18,6.91
495,Conceição do Araguaia,BR,1681416824,-8.2578,-49.2647,100,76,84.18,3.49
496,Escárcega,MX,1681416824,18.6089,-90.7454,27,24,101.28,1.3
497,Rocha,UY,1681416824,-34.4833,-54.3333,4,45,63.03,12.08
498,Bahía Blanca,AR,1681416824,-38.7196,-62.2724,100,30,62.82,4.0
499,Tupik,RU,1681416825,54.4253,119.9327,84,98,5.7,1.99
500,Pascagoula,US,1681416825,30.3658,-88.5561,40,67,72.03,6.91
501,Samarai,PG,1681416825,-10.6167,150.6667,100,77,80.65,10.04
502,Porosozero,RU,1681416825,62.7191,32.727,7,87,22.37,8.5
503,Changli,CN,1681416552,39.7042,119.1506,98,46,53.11,10.07
504,Tuatapere,NZ,1681416825,-46.1333,167.6833,54,95,48.56,4.47
505,Ballina,AU,1681416826,-28.8667,153.5667,57,81,55.78,11.05
506,Rovaniemi,FI,1681416826,66.5,25.7167,0,54,29.61,5.75
507,Bay Roberts,CA,1681416826,47.5999,-53.2648,100,79,41.14,5.01
508,Saint-François,FR,1681416826,46.4154,3.9054,0,79,42.96,2.3
509,Ajdabiya,LY,1681416827,30.7554,20.2263,0,17,72.03,9.17
510,Verkhnedneprovskiy,RU,1681416827,54.9813,33.3457,100,60,50.13,15.93
511,Nyakahanga,TZ,1681416827,-1.6033,31.1414,99,91,59.61,3.2
512,Muzhi,RU,1681416831,65.3667,64.6667,2,86,-3.08,8.25
513,Ocampo,MX,1681416831,21.65,-101.5,70,11,75.31,22.84
514,Ouango,CF,1681416831,4.3133,22.5552,74,90,73.42,3.78
515,Vung Tau,VN,1681416831,10.346,107.0843,89,79,80.98,8.34
516,Ozernovskiy,RU,1681416831,51.5,156.5167,88,92,34.32,5.53
517,Malazgirt,TR,1681416832,39.1427,42.5401,87,89,37.04,8.1
518,Kamyshevatskaya,RU,1681416832,46.4132,37.9563,100,83,49.73,20.89
519,Diamantino,BR,1681416832,-14.4086,-56.4461,97,72,84.09,2.3
520,Poso,ID,1681416832,-1.3959,120.7524,100,70,81.34,4.85
521,Remanso,BR,1681416832,-9.6179,-42.0831,66,38,87.71,3.76
522,Kargil,IN,1681416833,34.5667,76.1,28,64,27.27,3.58
523,Dibulla,CO,1681416833,11.2725,-73.3091,91,59,87.82,12.19
524,Kalanguy,RU,1681416833,51.0167,116.5167,98,79,25.25,3.02
525,Partizanskoye,RU,1681416833,55.5006,94.39,99,81,34.39,17.0
526,Gawler,AU,1681416834,-34.6,138.7333,14,84,59.97,7.99
527,Bac Lieu,VN,1681416834,9.285,105.7244,99,76,81.55,4.85
528,Bowen,AU,1681416834,-20.0167,148.2333,0,89,73.67,4.56
529,Abu Samrah,SY,1681416834,35.3029,37.1841,0,84,50.59,14.54
530,Mlonggo,ID,1681416834,-6.5333,110.7,100,88,76.66,5.19
531,Bealanana,MG,1681416835,-14.55,48.7333,84,95,64.8,0.89
532,Yaan,NG,1681416835,7.3833,8.5667,30,46,89.55,10.04
533,Balabac,PH,1681416835,7.9868,117.0645,51,75,80.01,3.33
534,Phalodi,IN,1681416835,27.1333,72.3667,3,16,88.57,1.68
535,Kutum,SD,1681416835,14.2,24.6667,6,16,74.5,10.47
536,Shitanjing,CN,1681416835,39.2342,106.3439,100,25,42.12,5.93
537,Taunton,GB,1681416836,51.0211,-3.1047,100,78,47.88,4.0
538,Ruska Poliana,UA,1681416836,49.417,31.9201,100,97,47.23,6.31
539,High Prairie,CA,1681416836,55.4334,-116.4858,34,31,47.93,5.32
540,Port Shepstone,ZA,1681416836,-30.7414,30.455,99,82,73.58,3.36
541,Strezhevoy,RU,1681416837,60.7333,77.5889,57,98,-1.66,6.82
542,Biak,ID,1681416837,-0.9131,122.8766,100,87,76.35,3.18
543,Qinzhou,CN,1681416837,21.95,108.6167,99,87,74.97,4.83
544,Petropavlovskoye,RU,1681416837,52.0712,84.107,50,58,42.93,10.8
545,Xunchang,CN,1681416837,28.4543,104.715,100,91,66.22,3.18
546,Laas,IT,1681416837,46.6166,10.7002,100,93,35.37,8.21
547,Lavrentiya,RU,1681416742,65.5833,-171.0,16,83,-0.22,7.09
548,Bhuj,IN,1681416838,23.2667,69.6667,0,52,80.01,9.31
549,Kabare,CD,1681416838,-2.4683,28.8242,100,95,61.18,1.12
550,Port Macquarie,AU,1681416838,-31.4333,152.9167,77,85,60.89,12.41
551,Neuquén,AR,1681416838,-38.9516,-68.0591,0,54,57.09,6.91
552,Spornoye,RU,1681416838,50.8448,37.2913,100,93,46.72,13.73
553,Fort-Shevchenko,KZ,1681416839,44.5086,50.263,100,88,50.83,15.14
554,Duque de Caxias,BR,1681416837,-22.7856,-43.3117,0,57,82.33,8.05
555,Turinsk,RU,1681416839,58.0458,63.696,8,77,12.6,9.31
